Effective Date,Index Name,Action,Company Name,Ticker,GICS Sector,Market,Release date,sector_stock,sector_performance_1week,sector_performance_5week,sector_performance_20week,index_performance_1week,index_performance_5week,index_performance_20week,company_performance_1week,company_performance_5week,company_performance_20week,market_performance_1week,index_stock,market_performance_5week,market_performance_20week,twentyfour_hr_post_release%change,twentyfour_hr_post_effect%change,market_cap,2week_volume_avg,10week_sum_dividens,10week_sum_dividends,10weeks_sum_dividends,20week_avg_vol
2022-04-07,S&P SmallCap 600,Addition,Arcus Biosciences,RCUS,Health Care,"NEW YORK, ",2022-04-04,XLV,0.9230728987809066,7.248513163649381,3.4303460405908472,0.3222452725657164,2.1848487446972555,-8.612251035308663,-10.013914359995148,-10.486997729758988,-15.336301362888236,na,^SP600,na,na,8.139868736800535,-0.9982388105671366,970,826160,0,0,0.0,729809
2022-04-26,S&P SmallCap 600,Addition,A10 Networks,ATEN,Information Technology,"NEW YORK, ",2022-04-21,XLK,0.4984921553304554,0.9324294515965952,-7.948116805636823,2.0721743565676465,0.7143180193441626,-0.3762906512512506,2.3969977334110704,2.397008351823933,-6.963093876786281,na,^SP600,na,na,9.145881179240318,-0.4807736708868719,970,526033,0,0,0.05,821710
2022-05-03,S&P MidCap 400,Addition,Inari Medical,NARI,Health Care,"NEW YORK, ",2022-04-28,XLV,-5.566223536676911,-1.26356721989663,0.0721654150300893,-6.652534664115475,-5.3085787381589,-10.4731298214517,-15.861706023520613,-7.247567196519056,-5.8900577388286885,na,^SP400,na,na,6.119228393998852,4.89395630192373,2280,426633,0,0,0.0,470276
2022-05-03,S&P SmallCap 600,Addition,Tri Pointe Homes,TPH,Consumer Discretionary,"NEW YORK, ",2022-04-28,XLY,-8.718475055405284,-6.903716632373986,-17.13478732009267,-6.920690378121277,-6.476115177604638,-11.791457898064296,-10.526320843269804,-6.548761157921081,-28.01914820730998,na,^SP600,na,na,2.477700656286708,4.917262100639291,970,1262944,0,0,0.0,1297266
2022-08-04,S&P SmallCap 600,Addition,AdaptHealth,AHCO,Health Care,"NEW YORK, ",2022-08-01,XLV,1.3315002433254508,1.904026218142861,2.037434208743739,3.924885978284221,6.565816960513292,-4.007957561696453,4.129097540742307,15.291643417828308,41.63977313263609,na,^SP600,na,na,8.202599585444476,0.5917144626156288,970,739920,0,0,0.0,1043730
2022-08-10,S&P MidCap 400,Addition,Celsius Holdings,CELH,Consumer Staples,"NEW YORK, ",2022-08-04,XLP,1.622950920119065,4.71013451942339,3.522493766294158,2.699247533444152,9.524732205967991,-5.611002792564099,25.68958995459756,66.28034566355839,113.79379479494312,na,^SP400,na,na,-9.068175747745755,0.4674220626423128,2280,1455380,0,0,0.0,1040444
2022-08-10,S&P SmallCap 600,Addition,Clearfield,CLFD,Information Technology,"NEW YORK, ",2022-08-04,XLK,4.690511554673142,15.346496754470364,-1.857186791834385,2.1988951739822022,10.991384406886938,-5.21978221391963,22.23138944060483,76.17592303496774,66.02655979084545,na,^SP600,na,na,7.849800270648817,-0.9432396480953305,970,320090,0,0,0.0,161576
2021-08-30,S&P 500,Addition,Bio-Techne,TECH,Health Care,"NEW YORK, ",2021-08-24,XLV,0.971457712031302,6.641611214252092,16.48175966006119,0.4993093993689501,5.141486294418568,10.031230653064195,1.1135064458318729,5.606312944847739,21.47884309890121,na,^GSPC,na,na,1.5900386917078877,-1.2327563030934126,36650,523720,0,0,0.16,891371
2021-08-30,S&P MidCap 400,Addition,Saia,SAIA,Industrials,"NEW YORK, ",2021-08-24,XLI,-1.0121213492500545,3.587129402601733,4.091509218632492,-0.9468637384259466,4.976992080193418,1.276182561027828,4.053058235012755,31.21782699071513,7.5200278841330865,na,^SP400,na,na,-5.206001153790914,-1.8916447654578312,2280,208630,0,0,0.0,210059
2021-08-30,S&P MidCap 400,Addition,Option Care Health,OPCH,Health Care,"NEW YORK, ",2021-08-24,XLV,0.9714692330138174,6.64159248362898,16.48175966006119,-0.9468637384259466,4.976992080193418,1.276182561027828,12.639401744869437,20.77728021774376,30.18259225876676,na,^SP400,na,na,6.788076986780716,1.7497111770771092,2280,938890,0,0,0.0,1230735
2021-08-30,S&P SmallCap 600,Addition,BioLife Solutions,BLFS,Health Care,"NEW YORK, ",2021-08-24,XLV,0.971457712031302,6.64159248362898,16.481780879038713,0.3669770565516388,4.939466678188084,-0.4420173482423276,3.809517935497738,6.401815536132112,31.50953909807882,na,^SP600,na,na,20.017239702803767,0.0857619857887802,970,221450,0,0,0.0,248858
2021-08-30,S&P SmallCap 600,Addition,Cinemark Holdings,CNK,Communication Services,"NEW YORK, ",2021-08-24,XLC,1.3528011881301856,5.018777734345163,10.417509250480364,0.3669770565516388,4.939466678188084,-0.4420173482423276,9.507285913019077,1.8064498901367188,-31.151833854955456,na,^SP600,na,na,5.838512495561861,4.711432072888128,970,3317700,0,0,0.0,3276614
2021-08-30,S&P SmallCap 600,Addition,Trustmark,TRMK,Financials,"NEW YORK, ",2021-08-24,XLF,-0.3924478525206567,8.554321422813809,10.273521997070889,0.3669770565516388,4.939466678188084,-0.4420173482423276,0.2629859968526907,3.6005409314526142,-10.231574799812488,na,^SP600,na,na,8.68996992607887,-0.0316462935478319,970,137840,0,0,0.23,199253
2022-09-01,S&P SmallCap 600,Addition,Avid Technology,AVID,Information Technology,"NEW YORK, ",2022-08-29,XLK,-5.284425934878084,0.8821709426438777,-7.820878693408239,-3.195197464949344,2.584307199223717,-4.080127393089724,-7.677543411036498,-13.61350896104446,-29.035114575993408,na,^SP600,na,na,12.106135881820936,-0.0378653121530246,970,326260,0,0,0.0,336496
2021-09-03,S&P MidCap 400,Addition,Performance Food Group,PFGC,Consumer Staples,"NEW YORK, ",2021-08-30,XLP,-1.332941666197531,0.7153848023365615,4.718683243661641,3.415598313214492,3.5289653577976354,3.6150277233063184,14.368612728903964,9.440248682332232,-14.550814103106518,na,^SP400,na,na,4.866328246406493,0.0,2280,2051470,0,0,0.0,1497562
2021-09-03,S&P SmallCap 600,Addition,TreeHouse Foods,THS,Consumer Staples,"NEW YORK, ",2021-08-30,XLP,-1.3329524542623568,0.7153848023365615,4.718718887643181,3.8564778472192383,4.291223461392572,3.1133976860396886,-0.9473395329339434,-22.17600919535776,-30.47135049009496,na,^SP600,na,na,6.207490128064841,0.0,970,1028100,0,0,0.0,672175
2021-09-07,S&P MidCap 400,Addition,Digital Turbine,APPS,Information Technology,"NEW YORK, ",2021-08-30,XLK,1.4857438035348414,2.8158012574883124,12.44457561636358,3.415598313214492,3.5289653577976354,3.6150277233063184,7.618853935384827,-17.286070481832475,-38.96058773241169,na,^SP400,na,na,13.982063483467364,-3.914481456649424,2280,3454930,0,0,0.0,3088427
2021-09-07,S&P SmallCap 600,Addition,Ligand Pharmaceuticals,LGND,Health Care,"NEW YORK, ",2021-08-30,XLV,-1.7314287725155189,2.5932397411179022,14.650107221023566,3.8564778472192383,4.291223461392572,3.1133976860396886,9.569602817609312,-5.447821054474291,-24.672685928443123,na,^SP600,na,na,8.978584340096031,3.7678568344457313,970,338746,0,0,0.0,241742
2021-12-14,S&P 500,Addition,EPAM Systems,EPAM,Information Technology,"NEW YORK, ",2021-12-07,XLK,0.306787768070078,5.269036810157814,14.33111279838062,-0.1784340317062658,0.4038369538066832,8.60142794259151,-5.801348416892488,-9.337799287428972,10.584211734414504,na,^GSPC,na,na,17.741389382911674,-2.129295162821469,36650,345755,0,0,0.0,274526
2022-12-19,S&P 500,Addition,First Solar,FSLR,Information Technology,"NEW YORK, ",2022-12-12,XLK,-2.38238115570026,8.18481096864734,-4.167598546267436,-2.782068694759088,4.1944523585109135,-0.6664598568703013,-10.851187933058966,-3.268098881840129,107.17941952645828,na,^GSPC,na,na,4.550895674656228,-0.0892910234347332,36650,3004770,0,0,0.0,3068065
2021-12-20,S&P MidCap 400,Addition,Alcoa,AA,Materials,"NEW YORK, ",2021-12-13,XLB,2.413831585736459,-0.5969879418709392,8.1848000693701,2.875506021206247,-4.31205754340307,4.007127444030135,9.572585215322924,0.0406521557755865,31.2250397852844,na,^SP400,na,na,5.609042221945447,6.9679865711158016,2280,7546650,0,0,0.1,7865284
2022-12-22,S&P 500,Addition,Steel Dynamics,STLD,Materials,"NEW YORK, ",2022-12-19,XLB,-2.5940760745727665,-2.533934366135748,2.0761668043389845,-2.1704418601365005,-3.1216910272119427,-6.288082597397293,-5.053306639453054,6.367518108981673,33.560377219768064,na,^GSPC,na,na,1.6650270358682266,-0.2624968606443552,36650,2283270,0,0,0.34,1738896
2022-12-22,S&P MidCap 400,Addition,Super Micro Computer,SMCI,Information Technology,"NEW YORK, ",2022-12-19,XLK,-2.764607714430163,-3.4786531485094208,-10.572474690973053,-2.148951104256876,-4.565743411504765,-3.829300062125066,-5.261307430008706,-2.7369233248631786,49.66604060338176,na,^SP400,na,na,6.480061136571139,0.2071725608064435,2280,975910,0,0,0.0,759568
2021-12-28,S&P MidCap 400,Addition,Voya Financial,VOYA,Financials,"NEW YORK, ",2021-12-21,XLF,-0.9016101444430772,-4.919788133062887,4.712855326655453,-2.538965597732846,-7.807299904960523,-0.4130785972994266,-0.0805480239876993,-7.572327917523169,-4.425544991673084,na,^SP400,na,na,6.513838334517046,-0.4642767323337001,2280,1783210,0,0,0.365,1577022
2022-01-04,S&P MidCap 400,Addition,Calix,CALX,Information Technology,"NEW YORK, ",2021-12-28,XLK,5.760713718413793,5.075447669754287,14.864652515502414,5.68057791124154,-1.4628364497087245,4.553099143453652,13.533228825880093,-1.3519209345057166,51.72190996289573,na,^SP400,na,na,14.45694907209348,-5.307446898190714,2280,642077,0,0,0.0,522419
2023-01-05,S&P MidCap 400,Addition,Vornado Realty Trust,VNO,Real Estate,"NEW YORK, ",2022-12-28,XLRE,0.6831460042060119,-2.3102923149915244,-15.56332798862532,1.4574364965308864,-4.326133419664276,-2.495479999609081,0.8915967562641882,-12.173204353694834,-23.18512185931577,na,^SP400,na,na,1.6279633653903671,1.8726573366127344,2280,3035655,0,0,0.53,2997197
2023-01-05,S&P SmallCap 600,Addition,RXO,RXO,Industrials,"NEW YORK, ",2022-12-28,XLI,0.4980743106770502,-1.299652659334032,2.629482762527522,0.2679391569734133,-5.357583538802194,-6.5394319055081125,-1.0995741963823296,-11.674846691520123,-26.409088481556285,na,^SP600,na,na,8.46107365605299,1.9347017963210085,970,1316911,0,0,0.0,1292388
2022-02-15,S&P 500,Addition,Nordson,NDSN,Industrials,"NEW YORK, ",2022-02-10,XLI,-0.7538643560976381,-4.727449048606004,2.1713228707644223,0.3931304448932661,-2.9861123465378867,3.3242238469393546,-0.6765906023184857,-3.716683436240158,-3.3671450568154366,na,^GSPC,na,na,-5.823313467772723,2.185910549717585,36650,173290,0,0,0.51,167540
2022-02-15,S&P MidCap 400,Addition,PDC Energy,PDCE,Energy,"NEW YORK, ",2022-02-10,XLE,0.4398166392261479,13.090113127616338,41.39585981242639,2.2220779473252352,-2.8392731119167194,2.100120771553088,-2.0499268884876987,7.864544126476588,31.989308989972844,na,^SP400,na,na,-3.677439915372098,-1.1410115288048617,2280,1021660,0,0,0.62,928227
2022-02-15,S&P SmallCap 600,Addition,XPEL,XPEL,Consumer Discretionary,"NEW YORK, ",2022-02-10,XLY,2.817601737458993,-8.55200666205957,1.5715474579500168,1.2904904494202274,-5.744575397141614,-1.1904370667213542,-1.4393315654419456,-10.40621271558726,-29.691979599203577,na,^SP600,na,na,8.574881468613716,2.959367182594376,970,179330,0,0,0.0,176536
2022-02-18,S&P MidCap 400,Addition,Old National Bancorp,ONB,Financials,"NEW YORK, ",2022-02-15,XLF,-0.8888882930759904,-2.5255076731764987,4.137111823284267,0.5215753842258655,-5.236880092314308,-3.193007490373816,-0.958986635437513,-5.1530636469377535,8.677300233428067,na,^SP400,na,na,-2.168164202646565,0.0,2280,1729520,0,0,0.14,1433502
